Datetime,TNI,cash
2012-11-21 00:00:00+00:00,0.0,94399492.93677399
2012-11-22 00:00:00+00:00,0.0,94399492.93677399
2012-11-23 00:00:00+00:00,0.0,94399492.93677399
2012-11-26 00:00:00+00:00,0.0,96305155.0127995
2012-11-27 00:00:00+00:00,0.0,96305155.0127995
2012-11-28 00:00:00+00:00,0.0,96305155.0127995
2012-11-29 00:00:00+00:00,0.0,96305155.0127995
2012-11-30 00:00:00+00:00,0.0,96305155.0127995
2012-12-03 00:00:00+00:00,0.0,91854232.04142399
2012-12-04 00:00:00+00:00,0.0,91854232.04142399
2012-12-05 00:00:00+00:00,0.0,91854232.04142399
2012-12-06 00:00:00+00:00,0.0,91854232.04142399
2012-12-07 00:00:00+00:00,0.0,91854232.04142399
2012-12-10 00:00:00+00:00,0.0,98147257.12748647
2012-12-11 00:00:00+00:00,0.0,98147257.12748647
2012-12-12 00:00:00+00:00,0.0,98147257.12748647
2012-12-13 00:00:00+00:00,0.0,98147257.12748647
2012-12-14 00:00:00+00:00,0.0,98147257.12748647
2012-12-17 00:00:00+00:00,0.0,95396376.48575948
2012-12-18 00:00:00+00:00,0.0,95396376.48575948
2012-12-19 00:00:00+00:00,0.0,95396376.48575948
2012-12-20 00:00:00+00:00,0.0,95396376.48575948
2012-12-21 00:00:00+00:00,0.0,95396376.48575948
2012-12-24 00:00:00+00:00,0.0,99009096.36579953
2012-12-25 00:00:00+00:00,0.0,99009096.36579953
2012-12-26 00:00:00+00:00,0.0,99009096.36579953
2012-12-27 00:00:00+00:00,0.0,99009096.36579953
2012-12-28 00:00:00+00:00,0.0,99009096.36579953
2013-01-02 00:00:00+00:00,0.0,103823982.00261955
2013-01-03 00:00:00+00:00,0.0,103823982.00261955
2013-01-04 00:00:00+00:00,0.0,103823982.00261955
2013-01-07 00:00:00+00:00,0.0,103823982.00261955
2013-01-08 00:00:00+00:00,0.0,103823982.00261955
2013-01-09 00:00:00+00:00,0.0,107219790.7368278
2013-01-10 00:00:00+00:00,0.0,107219790.7368278
2013-01-11 00:00:00+00:00,0.0,107219790.7368278
2013-01-14 00:00:00+00:00,0.0,107219790.7368278
2013-01-15 00:00:00+00:00,0.0,107219790.7368278
2013-01-16 00:00:00+00:00,0.0,111154102.88317958
